Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 25.00      0.02     0.02  2024775     0.00     0.00  bool __gnu_cxx::operator!=<std::string**, std::vector<std::string*, std::allocator<std::string*> > >(__gnu_cxx::__normal_iterator<std::string**, std::vector<std::string*, std::allocator<std::string*> > > const&, __gnu_cxx::__normal_iterator<std::string**, std::vector<std::string*, std::allocator<std::string*> > > const&)
 25.00      0.04     0.02     5801     0.00     0.00  Buffer::get(char*, unsigned int)
 12.50      0.05     0.01  1789604     0.00     0.00  Buffer::getChar(unsigned int)
 12.50      0.06     0.01    70169     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_S_key(std::_Rb_tree_node<std::pair<std::string const, std::string> > const*)
 12.50      0.07     0.01    11559     0.00     0.00  Parser::hasEOL()
  6.25      0.08     0.01    10658     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::key_comp() const
  6.25      0.08     0.01    10138     0.00     0.00  std::map<std::string, std::string, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::end() const
  0.00      0.08     0.00 14960266     0.00     0.00  __gnu_cxx::__normal_iterator<std::string**, std::vector<std::string*, std::allocator<std::string*> > >::operator*() const
  0.00      0.08     0.00  7620866     0.00     0.00  __gnu_cxx::__normal_iterator<std::string**, std::vector<std::string*, std::allocator<std::string*> > >::base() const
  0.00      0.08     0.00  3677963     0.00     0.00  __gnu_cxx::__normal_iterator<std::string**, std::vector<std::string*, std::allocator<std::string*> > >::__normal_iterator(std::string** const&)
  0.00      0.08     0.00  1846822     0.00     0.00  std::vector<std::string*, std::allocator<std::string*> >::end()
  0.00      0.08     0.00  1818426     0.00     0.00  std::vector<std::string*, std::allocator<std::string*> >::begin()
  0.00      0.08     0.00  1794235     0.00     0.00  bool __gnu_cxx::operator==<std::string**, std::vector<std::string*, std::allocator<std::string*> > >(__gnu_cxx::__normal_iterator<std::string**, std::vector<std::string*, std::allocator<std::string*> > > const&, __gnu_cxx::__normal_iterator<std::string**, std::vector<std::string*, std::allocator<std::string*> > > const&)
  0.00      0.08     0.00  1789548     0.00     0.00  Parser::readChar()
  0.00      0.08     0.00   865362     0.00     0.00  Parser::peekChar()
  0.00      0.08     0.00   463597     0.00     0.00  Parser::isIgnore(char) const
  0.00      0.08     0.00   440868     0.00     0.00  Buffer::size() const
  0.00      0.08     0.00   437281     0.00     0.00  Parser::isEnd() const
  0.00      0.08     0.00   404214     0.00     0.00  Parser::ignore()
  0.00      0.08     0.00   343033     0.00     0.00  Parser::__saveContext()
  0.00      0.08     0.00   304919     0.00     0.00  Parser::__restoreContext()
  0.00      0.08     0.00   215089     0.00     0.00  Parser::readIfEqual(std::string const&)
  0.00      0.08     0.00   202141     0.00     0.00  __gnu_cxx::__normal_iterator<std::string**, std::vector<std::string*, std::allocator<std::string*> > >::operator++()
  0.00      0.08     0.00   161376     0.00     0.00  Parser::peekIfEqual(char)
  0.00      0.08     0.00   133754     0.00     0.00  std::_Select1st<std::pair<std::string const, std::string> >::operator()(std::pair<std::string const, std::string> const&) const
  0.00      0.08     0.00   130643     0.00     0.00  bool std::operator< <char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.08     0.00   130591     0.00     0.00  std::less<std::string>::operator()(std::string const&, std::string const&) const
  0.00      0.08     0.00    97894     0.00     0.00  Parser::peekIfEqual(std::string const&)
  0.00      0.08     0.00    87316     0.00     0.00  Parser::skipComment(char)
  0.00      0.08     0.00    70290     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_S_value(std::_Rb_tree_node<std::pair<std::string const, std::string> > const*)
  0.00      0.08     0.00    59997     0.00     0.00  Parser::isAlpha(char) const
  0.00      0.08     0.00    50389     0.00     0.00  Parser::isAlphaNum(char) const
  0.00      0.08     0.00    50251     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, std::string> >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<std::string const, std::string> >*)
  0.00      0.08     0.00    40702     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_end()
  0.00      0.08     0.00    39860     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_S_right(std::_Rb_tree_node_base*)
