Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.17     0.00    29806     0.00     0.00  std::list<ModuleManager::RefCounter<ModuleManager::ModuleStuff>, std::allocator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> > >::end()
  0.00      0.17     0.00    29754     0.00     0.00  std::_List_iterator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> >::operator*() const
  0.00      0.17     0.00    29704     0.00     0.00  std::list<ModuleManager::RefCounter<ModuleManager::ModuleStuff>, std::allocator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> > >::back()
  0.00      0.17     0.00    29035     0.00     0.00  std::allocator<std::pair<std::string const, std::string> >::allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > >(std::allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > > const&)
  0.00      0.17     0.00    29022     0.00     0.00  std::pair<std::string const, std::string>::~pair()
  0.00      0.17     0.00    28894     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::get_allocator() const
  0.00      0.17     0.00    28049     0.00     0.00  std::_List_const_iterator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> >::operator!=(std::_List_const_iterator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> > const&) const
  0.00      0.17     0.00    27996     0.00     0.00  std::_List_const_iterator<ModuleManager::RefCounter<ModuleManager::ModuleStuff> >::_List_const_iterator(std::_List_node_base const*)
  0.00      0.17     0.00    27973     0.00     0.00  std::_List_iterator<zAPI::IModuleInfo*>::_List_iterator(std::_List_node_base*)
  0.00      0.17     0.00    27354     0.00     0.00  operator new(unsigned int, void*)
  0.00      0.17     0.00    25063     0.00     0.00  std::_Deque_iterator<zAPI::IResponseStream*, zAPI::IResponseStream*&, zAPI::IResponseStream**>::_Deque_iterator(std::_Deque_iterator<zAPI::IResponseStream*, zAPI::IResponseStream*&, zAPI::IResponseStream**> const&)
  0.00      0.17     0.00    24893     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, std::string> >::operator*() const
  0.00      0.17     0.00    23611     0.00     0.00  Parser::isEOL()
  0.00      0.17     0.00    23536     0.00     0.00  std::__deque_buf_size(unsigned int)
  0.00      0.17     0.00    22684     0.00     0.00  Parser::setIgnore(bool)
  0.00      0.17     0.00    20316     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, void*> >::_Rb_tree_const_iterator(std::_Rb_tree_node<std::pair<std::string const, void*> > const*)
  0.00      0.17     0.00    20206     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::end() const
  0.00      0.17     0.00    19448     0.00     0.00  __gnu_cxx::__normal_iterator<zAPI::ISendResponse* const*, std::vector<zAPI::ISendResponse*, std::allocator<zAPI::ISendResponse*> > >::__normal_iterator(zAPI::ISendResponse* const* const&)
  0.00      0.17     0.00    19440     0.00     0.00  __gnu_cxx::__normal_iterator<zAPI::ISendResponse* const*, std::vector<zAPI::ISendResponse*, std::allocator<zAPI::ISendResponse*> > >::base() const
  0.00      0.17     0.00    19241     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_begin()
  0.00      0.17     0.00    18791     0.00     0.00  Singleton<ModuleManager>::getInstance()
  0.00      0.17     0.00    17950     0.00     0.00  Parser::isNum(char) const
  0.00      0.17     0.00    17904     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_S_right(std::_Rb_tree_node_base const*)
  0.00      0.17     0.00    17806     0.00     0.00  std::_List_iterator<zAPI::IModuleInfo*>::operator!=(std::_List_iterator<zAPI::IModuleInfo*> const&) const
  0.00      0.17     0.00    17276     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, std::string> >::operator==(std::_Rb_tree_iterator<std::pair<std::string const, std::string> > const&) const
  0.00      0.17     0.00    16293     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::end()
