Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.10     0.00    18875     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::string const, std::string> >::~new_allocator()
  0.00      0.10     0.00    18872     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::string const, std::string> >::new_allocator()
  0.00      0.10     0.00    18761     0.00     0.00  std::allocator<std::pair<std::string const, std::string> >::~allocator()
  0.00      0.10     0.00    17650     0.00     0.00  operator new(unsigned int, void*)
  0.00      0.10     0.00    17533     0.00     0.00  std::pair<std::string const, std::string>::~pair()
  0.00      0.10     0.00    17502     0.00     0.00  std::allocator<std::pair<std::string const, std::string> >::allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > >(std::allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > > const&)
  0.00      0.10     0.00    17465     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::get_allocator() const
  0.00      0.10     0.00    17319     0.00     0.00  std::_Deque_iterator<zAPI::IResponseStream*, zAPI::IResponseStream*&, zAPI::IResponseStream**>::_Deque_iterator(std::_Deque_iterator<zAPI::IResponseStream*, zAPI::IResponseStream*&, zAPI::IResponseStream**> const&)
  0.00      0.10     0.00    16634     0.00     0.00  std::__deque_buf_size(unsigned int)
  0.00      0.10     0.00    14838     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, std::string> >::operator*() const
  0.00      0.10     0.00    14227     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::end() const
  0.00      0.10     0.00    14190     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, void*> >::_Rb_tree_const_iterator(std::_Rb_tree_node<std::pair<std::string const, void*> > const*)
  0.00      0.10     0.00    13856     0.00     0.00  Parser::isEOL()
  0.00      0.10     0.00    13646     0.00     0.00  __gnu_cxx::__normal_iterator<zAPI::ISendResponse* const*, std::vector<zAPI::ISendResponse*, std::allocator<zAPI::ISendResponse*> > >::__normal_iterator(zAPI::ISendResponse* const* const&)
